Lap,HAM_Time,VER_Time
1,98.29219999999995,98.53208000000001
2,98.29219999999995,98.53208000000001
3,98.11684999999994,98.45334999999989
4,98.04666000000003,98.59935999999982
5,97.95587999999992,98.66087999999986
6,98.15796999999982,98.76860000000002
7,98.38089999999985,98.76350999999995
8,98.59598000000001,99.06500000000001
9,98.56523000000004,99.16207999999993
10,98.54838000000001,99.07877000000009
11,100.08485999999994,102.02392000000005
12,100.43136999999984,101.65808000000011
13,102.92344000000001,102.86775000000006
14,104.21923999999997,104.86285000000011
15,101.99628000000003,105.07796000000003
