Lap,PIA_Time,HAM_Time
1,97.63025000000003,98.29219999999995
2,97.63025000000003,98.29219999999995
3,97.67630000000008,98.11684999999994
4,97.67728000000001,98.04666000000003
5,97.68385000000002,97.95587999999992
6,97.73877000000005,98.15796999999982
7,97.95956999999999,98.38089999999985
8,98.14137000000002,98.59598000000001
9,98.18082999999997,98.56523000000004
10,98.07770999999997,98.54838000000001
11,98.69611999999994,100.08485999999994
12,99.26633,100.43136999999984
13,98.94186999999998,102.92344000000001
14,102.25498000000012,104.21923999999997
15,105.04386000000008,101.99628000000003
