Lap,VER_Time,HAM_Time
1,98.53208000000001,98.29219999999995
2,98.53208000000001,98.29219999999995
3,98.45334999999989,98.11684999999994
4,98.59935999999982,98.04666000000003
5,98.66087999999986,97.95587999999992
6,98.76860000000002,98.15796999999982
7,98.76350999999995,98.38089999999985
8,99.06500000000001,98.59598000000001
9,99.16207999999993,98.56523000000004
10,99.07877000000009,98.54838000000001
11,102.02392000000005,100.08485999999994
12,101.65808000000011,100.43136999999984
13,102.86775000000006,102.92344000000001
14,104.86285000000011,104.21923999999997
15,105.07796000000003,101.99628000000003
